1997-01-14  20:19:02         msvcrt20.dll.x86           2.12.000
2001-08-17  20:53:49         runas.exe.x86              5.1.2600.0       (xpclient.010817-1148)
2001-08-18  05:33:25         msvcrt20.dll.x86           2.12.000
2001-08-18  05:33:36         olethk32.dll.x86           5.1.2600.0       (XPClient.010817-1148)
2001-08-18  05:33:38         olesvr32.dll.x86           1.09             (XPClient.010817-1148)
2001-08-18  05:33:44         msvcirt.dll.x86            7.0.2600.0       (xpclient.010817-1148)
2001-08-18  05:33:45         msvcrt.dll.x86             7.0.2600.0       (xpclient.010817-1148)
2001-08-18  05:35:00         mapi32.dll.x86             1.0.2536.0       (XPClient.010817-1148)
2008-04-13  18:30:45         msvcrt40.dll.x86           5.1.2600.5512    (xpsp.080413-2111)
2008-04-13  18:31:00         msvcirt.dll.x86            7.0.2600.5512    (xpsp.080413-2111)
2008-04-13  18:34:41         smss.exe.x86               5.1.2600.5512    (xpsp.080413-2111)
2008-04-13  19:14:55         cmd.exe.x86                5.1.2600.5512    (xpsp.080413-2111)
2008-04-13  19:15:12         svchost.exe.x86            5.1.2600.5512    (xpsp.080413-2111)
2008-04-13  19:24:23         ntkrnlmp.exe.x86           5.1.2600.5512    (xpsp.080413-2111)
2008-04-13  19:29:46         win32k.sys.x86             5.1.2600.5512    (xpsp.080413-2105)
2008-04-14  00:08:52         msvcirt.dll.x86            7.0.2600.5512    (xpsp.080413-2111)
2008-04-14  00:08:52         msvcrt.dll.x86             7.0.2600.5512    (xpsp.080413-2111)
2008-04-14  00:09:22         advapi32.dll.x86           5.1.2600.5512    (xpsp.080413-2113)
2008-04-14  00:09:34         gdi32.dll.x86              5.1.2600.5512    (xpsp.080413-2105)
2008-04-14  00:09:59         crypt32.dll.x86            5.131.2600.5512  (xpsp.080413-2113)
2008-04-14  00:10:34         netapi32.dll.x86           5.1.2600.5512    (xpsp.080413-2113)
2008-04-14  00:10:39         rasapi32.dll.x86           5.1.2600.5512    (xpsp.080413-0852)
2008-04-14  00:10:57         ole32.dll.x86              5.1.2600.5512    (xpsp.080413-2108)
2008-04-14  00:10:57         shell32.dll.x86            6.00.2900.5512   (xpsp.080413-2105)
2008-04-14  00:10:58         oleaut32.dll.x86           5.1.2600.5512
2008-04-14  00:10:59         olecli32.dll.x86           1.07             (xpsp.080413-2108)
2008-04-14  00:11:05         olepro32.dll.x86           5.1.2600.5512
2008-04-14  00:11:07         user32.dll.x86             5.1.2600.5512    (xpsp.080413-2105)
2008-04-14  00:11:22         wintrust.dll.x86           5.131.2600.5512  (xpsp.080413-2113)
2008-04-14  00:11:24         kernel32.dll.x86           5.1.2600.5512    (xpsp.080413-2111)
2008-04-14  00:11:24         ntdll.dll.x86              5.1.2600.5512    (xpsp.080413-2111)
2008-04-14  00:12:19         ws2_32.dll.x86             5.1.2600.5512    (xpsp.080413-0852)
2008-04-14  00:12:32         wsock32.dll.x86            5.1.2600.5512    (xpsp.080413-0852)
2008-04-14  00:12:36         wtsapi32.dll.x86           5.1.2600.5512    (xpsp.080413-2111)
2008-04-14  00:12:56         msvcrt.dll.x86             7.0.2600.5512    (xpsp.080413-2111)
2008-10-15  16:25:53         netapi32.dll.x86           5.1.2600.5694    (xpsp_sp3_qfe.081015-1409)
2008-10-15  16:34:24         netapi32.dll.x86           5.1.2600.5694    (xpsp_sp3_gdr.081015-1312)
2008-10-23  12:36:14         gdi32.dll.x86              5.1.2600.5698    (xpsp_sp3_gdr.081022-1932)
2008-10-23  12:43:42         gdi32.dll.x86              5.1.2600.5698    (xpsp_sp3_qfe.081022-1941)
2009-02-06  11:03:36         ntkrnlmp.exe.x86           5.1.2600.5755    (xpsp_sp3_qfe.090206-1316)
2009-02-06  11:06:23         services.exe.x86           5.1.2600.5755    (xpsp_sp3_qfe.090206-1316)
2009-02-06  11:06:29         ntkrnlmp.exe.x86           5.1.2600.5755    (xpsp_sp3_gdr.090206-1234)
2009-02-06  11:11:04         services.exe.x86           5.1.2600.5755    (xpsp_sp3_gdr.090206-1234)
